id,client_id,number,dt_created,dt_modified,sale_sum,status_id
1,10,ORD_1,2015-04-23 00:00:00.000,2015-05-04 00:00:00.000,4246.00,1
2,4,ORD_2,2015-04-08 00:00:00.000,2015-06-02 00:00:00.000,9093.00,1
3,5,ORD_3,2015-05-14 00:00:00.000,2015-06-26 00:00:00.000,9246.00,6
4,7,ORD_4,2015-02-27 00:00:00.000,2015-03-01 00:00:00.000,9521.00,3
5,7,ORD_5,2015-01-12 00:00:00.000,2015-02-09 00:00:00.000,6309.00,4
6,6,ORD_6,2015-06-06 00:00:00.000,2015-06-21 00:00:00.000,7886.00,7
7,2,ORD_7,2015-04-22 00:00:00.000,2015-06-11 00:00:00.000,3262.00,4
8,4,ORD_8,2015-05-19 00:00:00.000,2015-05-27 00:00:00.000,7521.00,7
9,8,ORD_9,2015-06-23 00:00:00.000,2015-06-29 00:00:00.000,8407.00,3
10,10,ORD_10,2015-06-06 00:00:00.000,2015-06-23 00:00:00.000,8545.00,6
11,1,ORD_11,2015-02-02 00:00:00.000,2015-06-23 00:00:00.000,1981.00,4
12,1,ORD_12,2015-04-06 00:00:00.000,2015-05-03 00:00:00.000,2545.00,6
13,10,ORD_13,2015-03-20 00:00:00.000,2015-05-16 00:00:00.000,9098.00,3
14,4,ORD_14,2015-01-23 00:00:00.000,2015-02-18 00:00:00.000,1030.00,4
15,2,ORD_15,2015-03-17 00:00:00.000,2015-06-14 00:00:00.000,8805.00,4
16,10,ORD_16,2015-01-03 00:00:00.000,2015-03-16 00:00:00.000,2766.00,1
17,4,ORD_17,2015-02-17 00:00:00.000,2015-06-29 00:00:00.000,8283.00,6
18,8,ORD_18,2015-04-01 00:00:00.000,2015-04-20 00:00:00.000,9001.00,6
19,6,ORD_19,2015-04-28 00:00:00.000,2015-05-04 00:00:00.000,9035.00,5
20,1,ORD_20,2015-01-27 00:00:00.000,2015-06-14 00:00:00.000,5211.00,7
21,5,ORD_21,2015-02-01 00:00:00.000,2015-03-09 00:00:00.000,7279.00,1
22,9,ORD_22,2015-01-03 00:00:00.000,2015-01-10 00:00:00.000,2834.00,7
23,1,ORD_23,2015-04-14 00:00:00.000,2015-05-15 00:00:00.000,9076.00,4
24,3,ORD_24,2015-01-30 00:00:00.000,2015-06-03 00:00:00.000,3812.00,6
25,3,ORD_25,2015-04-18 00:00:00.000,2015-06-04 00:00:00.000,9202.00,5
26,1,ORD_26,2015-01-20 00:00:00.000,2015-05-12 00:00:00.000,3010.00,2
27,4,ORD_27,2015-06-18 00:00:00.000,2015-06-23 00:00:00.000,9798.00,4
28,2,ORD_28,2015-03-19 00:00:00.000,2015-04-29 00:00:00.000,3466.00,1
29,4,ORD_29,2015-06-07 00:00:00.000,2015-06-29 00:00:00.000,4353.00,5
30,10,ORD_30,2015-06-27 00:00:00.000,2015-06-29 00:00:00.000,5104.00,7
31,8,ORD_31,2015-05-22 00:00:00.000,2015-06-08 00:00:00.000,8696.00,6
32,5,ORD_32,2015-04-17 00:00:00.000,2015-04-30 00:00:00.000,7841.00,7
33,8,ORD_33,2015-01-25 00:00:00.000,2015-04-15 00:00:00.000,9337.00,2
34,2,ORD_34,2015-03-09 00:00:00.000,2015-05-01 00:00:00.000,2032.00,1
35,3,ORD_35,2015-06-12 00:00:00.000,2015-06-26 00:00:00.000,2521.00,6
36,4,ORD_36,2015-04-29 00:00:00.000,2015-05-07 00:00:00.000,5124.00,2
37,8,ORD_37,2015-02-22 00:00:00.000,2015-06-28 00:00:00.000,8459.00,2
38,3,ORD_38,2015-02-25 00:00:00.000,2015-04-13 00:00:00.000,9034.00,3
39,9,ORD_39,2015-04-23 00:00:00.000,2015-05-29 00:00:00.000,8726.00,7
40,6,ORD_40,2015-04-17 00:00:00.000,2015-04-23 00:00:00.000,1748.00,1
41,8,ORD_41,2015-01-26 00:00:00.000,2015-06-11 00:00:00.000,7524.00,1
42,3,ORD_42,2015-01-21 00:00:00.000,2015-05-31 00:00:00.000,9607.00,4
43,3,ORD_43,2015-05-07 00:00:00.000,2015-05-07 00:00:00.000,3365.00,6
44,1,ORD_44,2015-01-04 00:00:00.000,2015-05-23 00:00:00.000,2561.00,3
45,8,ORD_45,2015-05-21 00:00:00.000,2015-06-22 00:00:00.000,5906.00,7
46,5,ORD_46,2015-03-24 00:00:00.000,2015-06-02 00:00:00.000,2146.00,6
47,6,ORD_47,2015-03-04 00:00:00.000,2015-05-22 00:00:00.000,6827.00,6
48,10,ORD_48,2015-05-15 00:00:00.000,2015-05-31 00:00:00.000,7419.00,2
49,10,ORD_49,2015-02-12 00:00:00.000,2015-03-04 00:00:00.000,6735.00,4
50,809,ORD_50,2015-06-03 00:00:00.000,2015-06-25 00:00:00.000,40357.00,4
51,465,ORD_51,2015-01-16 00:00:00.000,2015-03-05 00:00:00.000,57190.00,5
52,679,ORD_52,2015-06-05 00:00:00.000,2015-06-05 00:00:00.000,21426.00,6
53,269,ORD_53,2015-03-12 00:00:00.000,2015-06-01 00:00:00.000,78505.00,1
54,152,ORD_54,2015-05-13 00:00:00.000,2015-05-24 00:00:00.000,85547.00,4
55,665,ORD_55,2015-02-17 00:00:00.000,2015-03-14 00:00:00.000,26592.00,7
56,216,ORD_56,2015-04-30 00:00:00.000,2015-05-02 00:00:00.000,70742.00,5
57,915,ORD_57,2015-04-17 00:00:00.000,2015-06-05 00:00:00.000,84896.00,5
58,687,ORD_58,2015-05-24 00:00:00.000,2015-05-25 00:00:00.000,82096.00,5
59,97,ORD_59,2015-04-17 00:00:00.000,2015-06-28 00:00:00.000,51484.00,7
60,753,ORD_60,2015-06-03 00:00:00.000,2015-06-12 00:00:00.000,60732.00,7
61,560,ORD_61,2015-01-05 00:00:00.000,2015-05-13 00:00:00.000,50367.00,6
62,884,ORD_62,2015-01-22 00:00:00.000,2015-04-22 00:00:00.000,92884.00,1
63,829,ORD_63,2015-04-07 00:00:00.000,2015-06-24 00:00:00.000,80068.00,1
64,230,ORD_64,2015-03-12 00:00:00.000,2015-05-08 00:00:00.000,17726.00,1
65,373,ORD_65,2015-01-24 00:00:00.000,2015-03-20 00:00:00.000,64315.00,6
66,84,ORD_66,2015-03-16 00:00:00.000,2015-06-29 00:00:00.000,86811.00,7
67,543,ORD_67,2015-05-11 00:00:00.000,2015-05-11 00:00:00.000,86285.00,6
68,686,ORD_68,2015-04-30 00:00:00.000,2015-06-12 00:00:00.000,49777.00,6
69,758,ORD_69,2015-04-17 00:00:00.000,2015-04-21 00:00:00.000,83079.00,4
70,664,ORD_70,2015-04-18 00:00:00.000,2015-06-18 00:00:00.000,30988.00,3
71,7,ORD_71,2015-01-10 00:00:00.000,2015-02-25 00:00:00.000,2052.00,1
72,16,ORD_72,2015-03-02 00:00:00.000,2015-05-31 00:00:00.000,75557.00,5
73,820,ORD_73,2015-01-25 00:00:00.000,2015-02-02 00:00:00.000,35701.00,1
74,51,ORD_74,2015-05-15 00:00:00.000,2015-06-04 00:00:00.000,22595.00,6
75,981,ORD_75,2015-03-31 00:00:00.000,2015-04-19 00:00:00.000,22345.00,7
76,97,ORD_76,2015-03-28 00:00:00.000,2015-06-27 00:00:00.000,78954.00,6
77,386,ORD_77,2015-05-26 00:00:00.000,2015-05-30 00:00:00.000,97214.00,1
78,906,ORD_78,2015-01-13 00:00:00.000,2015-03-01 00:00:00.000,97787.00,3
79,455,ORD_79,2015-04-22 00:00:00.000,2015-06-19 00:00:00.000,31053.00,2
80,128,ORD_80,2015-03-16 00:00:00.000,2015-03-28 00:00:00.000,2469.00,2
81,457,ORD_81,2015-03-19 00:00:00.000,2015-06-14 00:00:00.000,54396.00,7
82,32,ORD_82,2015-04-25 00:00:00.000,2015-05-14 00:00:00.000,92532.00,1
83,499,ORD_83,2015-02-08 00:00:00.000,2015-04-12 00:00:00.000,3532.00,4
84,816,ORD_84,2015-04-26 00:00:00.000,2015-05-11 00:00:00.000,86180.00,2
85,98,ORD_85,2015-04-01 00:00:00.000,2015-04-26 00:00:00.000,82045.00,2
86,862,ORD_86,2015-01-07 00:00:00.000,2015-05-14 00:00:00.000,72792.00,2
87,452,ORD_87,2015-04-01 00:00:00.000,2015-04-20 00:00:00.000,96114.00,1
88,974,ORD_88,2015-04-20 00:00:00.000,2015-05-16 00:00:00.000,26732.00,7
89,377,ORD_89,2015-01-23 00:00:00.000,2015-06-28 00:00:00.000,42415.00,1
90,570,ORD_90,2015-01-11 00:00:00.000,2015-02-03 00:00:00.000,95139.00,2
91,481,ORD_91,2015-01-05 00:00:00.000,2015-01-24 00:00:00.000,68180.00,4
92,177,ORD_92,2015-06-28 00:00:00.000,2015-06-30 00:00:00.000,4338.00,5
93,30,ORD_93,2015-04-02 00:00:00.000,2015-06-19 00:00:00.000,73707.00,5
94,511,ORD_94,2015-06-05 00:00:00.000,2015-06-21 00:00:00.000,18459.00,4
95,667,ORD_95,2015-01-21 00:00:00.000,2015-06-21 00:00:00.000,97437.00,2
96,791,ORD_96,2015-01-30 00:00:00.000,2015-06-06 00:00:00.000,85564.00,3
97,727,ORD_97,2015-03-21 00:00:00.000,2015-06-09 00:00:00.000,24834.00,5
98,197,ORD_98,2015-04-08 00:00:00.000,2015-04-14 00:00:00.000,31707.00,6
99,371,ORD_99,2015-05-22 00:00:00.000,2015-06-10 00:00:00.000,2095.00,5
100,259,ORD_100,2015-06-20 00:00:00.000,2015-06-24 00:00:00.000,91147.00,4
101,362,ORD_101,2015-02-19 00:00:00.000,2015-03-02 00:00:00.000,99855.00,2
102,721,ORD_102,2015-01-23 00:00:00.000,2015-06-19 00:00:00.000,22805.00,6
103,318,ORD_103,2015-02-17 00:00:00.000,2015-05-16 00:00:00.000,89775.00,6
104,452,ORD_104,2015-05-27 00:00:00.000,2015-06-16 00:00:00.000,1726.00,6
105,898,ORD_105,2015-01-04 00:00:00.000,2015-06-10 00:00:00.000,37967.00,3
106,346,ORD_106,2015-05-27 00:00:00.000,2015-06-21 00:00:00.000,83333.00,2
107,21,ORD_107,2015-02-26 00:00:00.000,2015-06-29 00:00:00.000,49478.00,3
108,1010,ORD_108,2015-05-09 00:00:00.000,2015-05-21 00:00:00.000,99482.00,1
109,482,ORD_109,2015-05-25 00:00:00.000,2015-06-28 00:00:00.000,4718.00,2
110,136,ORD_110,2015-05-12 00:00:00.000,2015-05-13 00:00:00.000,23769.00,1
111,564,ORD_111,2015-05-10 00:00:00.000,2015-06-25 00:00:00.000,44419.00,1
112,56,ORD_112,2015-03-03 00:00:00.000,2015-03-09 00:00:00.000,10036.00,1
113,13,ORD_113,2015-04-10 00:00:00.000,2015-04-30 00:00:00.000,16304.00,2
114,284,ORD_114,2015-01-27 00:00:00.000,2015-04-29 00:00:00.000,16310.00,5
115,200,ORD_115,2015-03-18 00:00:00.000,2015-04-10 00:00:00.000,27498.00,4
116,113,ORD_116,2015-03-25 00:00:00.000,2015-05-24 00:00:00.000,52439.00,7
117,125,ORD_117,2015-01-03 00:00:00.000,2015-06-19 00:00:00.000,66703.00,4
118,510,ORD_118,2015-03-30 00:00:00.000,2015-05-10 00:00:00.000,22406.00,5
119,746,ORD_119,2015-02-19 00:00:00.000,2015-03-29 00:00:00.000,11948.00,3
120,303,ORD_120,2015-05-09 00:00:00.000,2015-05-26 00:00:00.000,73706.00,2
121,801,ORD_121,2015-01-02 00:00:00.000,2015-05-01 00:00:00.000,5292.00,5
122,595,ORD_122,2015-06-21 00:00:00.000,2015-06-22 00:00:00.000,75495.00,7
123,738,ORD_123,2015-04-04 00:00:00.000,2015-05-05 00:00:00.000,85442.00,6
124,937,ORD_124,2015-06-20 00:00:00.000,2015-06-24 00:00:00.000,40507.00,1
125,801,ORD_125,2015-02-01 00:00:00.000,2015-03-24 00:00:00.000,99654.00,7
126,78,ORD_126,2015-01-16 00:00:00.000,2015-02-24 00:00:00.000,24523.00,4
127,137,ORD_127,2015-01-12 00:00:00.000,2015-02-14 00:00:00.000,48660.00,1
128,715,ORD_128,2015-01-17 00:00:00.000,2015-01-30 00:00:00.000,5988.00,7
129,818,ORD_129,2015-06-29 00:00:00.000,2015-06-30 00:00:00.000,93707.00,7
130,837,ORD_130,2015-06-22 00:00:00.000,2015-06-24 00:00:00.000,66373.00,7
131,232,ORD_131,2015-02-06 00:00:00.000,2015-05-11 00:00:00.000,16497.00,7
132,27,ORD_132,2015-02-01 00:00:00.000,2015-05-14 00:00:00.000,93169.00,7
133,401,ORD_133,2015-03-02 00:00:00.000,2015-05-18 00:00:00.000,24514.00,3
134,776,ORD_134,2015-03-13 00:00:00.000,2015-05-27 00:00:00.000,1574.00,1
135,115,ORD_135,2015-02-04 00:00:00.000,2015-03-18 00:00:00.000,52599.00,7
136,662,ORD_136,2015-06-14 00:00:00.000,2015-06-15 00:00:00.000,84375.00,2
137,305,ORD_137,2015-02-22 00:00:00.000,2015-05-08 00:00:00.000,39462.00,5
138,380,ORD_138,2015-05-12 00:00:00.000,2015-06-01 00:00:00.000,62706.00,5
139,161,ORD_139,2015-04-23 00:00:00.000,2015-06-02 00:00:00.000,71204.00,4
140,100,ORD_140,2015-05-12 00:00:00.000,2015-05-29 00:00:00.000,31140.00,4
141,987,ORD_141,2015-06-01 00:00:00.000,2015-06-04 00:00:00.000,81734.00,5
142,175,ORD_142,2015-03-21 00:00:00.000,2015-05-17 00:00:00.000,93957.00,2
143,693,ORD_143,2015-03-18 00:00:00.000,2015-06-23 00:00:00.000,4909.00,1
144,239,ORD_144,2015-06-18 00:00:00.000,2015-06-26 00:00:00.000,75875.00,7
145,945,ORD_145,2015-06-28 00:00:00.000,2015-06-29 00:00:00.000,30923.00,6
146,643,ORD_146,2015-05-19 00:00:00.000,2015-06-26 00:00:00.000,1977.00,7
147,832,ORD_147,2015-04-07 00:00:00.000,2015-06-21 00:00:00.000,97526.00,3
148,609,ORD_148,2015-03-15 00:00:00.000,2015-04-12 00:00:00.000,99845.00,2
149,870,ORD_149,2015-03-07 00:00:00.000,2015-04-12 00:00:00.000,67865.00,2
150,122,ORD_150,2015-04-19 00:00:00.000,2015-04-28 00:00:00.000,52596.00,1
151,819,ORD_151,2015-04-21 00:00:00.000,2015-05-19 00:00:00.000,32401.00,4
152,3,ORD_152,2015-06-30 00:00:00.000,2015-06-30 00:00:00.000,96557.00,1
153,757,ORD_153,2015-03-23 00:00:00.000,2015-04-27 00:00:00.000,38015.00,7
154,1008,ORD_154,2015-06-15 00:00:00.000,2015-06-17 00:00:00.000,91776.00,7
155,330,ORD_155,2015-01-02 00:00:00.000,2015-05-12 00:00:00.000,81282.00,3
156,638,ORD_156,2015-04-09 00:00:00.000,2015-06-23 00:00:00.000,25971.00,4
157,168,ORD_157,2015-05-09 00:00:00.000,2015-05-16 00:00:00.000,24081.00,3
158,47,ORD_158,2015-03-21 00:00:00.000,2015-05-02 00:00:00.000,47842.00,5
159,764,ORD_159,2015-03-29 00:00:00.000,2015-05-28 00:00:00.000,24037.00,4
160,79,ORD_160,2015-03-09 00:00:00.000,2015-05-19 00:00:00.000,4711.00,1
161,797,ORD_161,2015-02-06 00:00:00.000,2015-03-07 00:00:00.000,8327.00,6
162,454,ORD_162,2015-01-06 00:00:00.000,2015-06-04 00:00:00.000,5374.00,7
163,129,ORD_163,2015-02-08 00:00:00.000,2015-06-10 00:00:00.000,67724.00,6
164,359,ORD_164,2015-01-17 00:00:00.000,2015-01-20 00:00:00.000,61668.00,6
165,528,ORD_165,2015-06-08 00:00:00.000,2015-06-27 00:00:00.000,37447.00,1
166,78,ORD_166,2015-01-23 00:00:00.000,2015-05-29 00:00:00.000,56234.00,7
167,391,ORD_167,2015-06-27 00:00:00.000,2015-06-30 00:00:00.000,93633.00,4
168,505,ORD_168,2015-02-06 00:00:00.000,2015-04-05 00:00:00.000,98739.00,1
169,187,ORD_169,2015-03-29 00:00:00.000,2015-05-28 00:00:00.000,78071.00,3
170,64,ORD_170,2015-01-02 00:00:00.000,2015-03-08 00:00:00.000,10947.00,1
171,90,ORD_171,2015-04-20 00:00:00.000,2015-06-09 00:00:00.000,71345.00,7
172,405,ORD_172,2015-05-12 00:00:00.000,2015-06-27 00:00:00.000,21431.00,6
173,698,ORD_173,2015-03-27 00:00:00.000,2015-04-18 00:00:00.000,51383.00,5
174,777,ORD_174,2015-04-24 00:00:00.000,2015-05-05 00:00:00.000,48824.00,3
175,817,ORD_175,2015-02-08 00:00:00.000,2015-05-21 00:00:00.000,1855.00,7
176,483,ORD_176,2015-06-15 00:00:00.000,2015-06-22 00:00:00.000,22636.00,3
177,766,ORD_177,2015-02-17 00:00:00.000,2015-06-25 00:00:00.000,13996.00,6
178,90,ORD_178,2015-06-30 00:00:00.000,2015-06-30 00:00:00.000,44947.00,3
179,591,ORD_179,2015-03-05 00:00:00.000,2015-06-30 00:00:00.000,79403.00,6
180,591,ORD_180,2015-04-29 00:00:00.000,2015-05-27 00:00:00.000,21222.00,5
181,1018,ORD_181,2015-01-27 00:00:00.000,2015-03-13 00:00:00.000,15546.00,1
182,120,ORD_182,2015-01-04 00:00:00.000,2015-02-06 00:00:00.000,45884.00,5
183,294,ORD_183,2015-05-12 00:00:00.000,2015-05-27 00:00:00.000,90387.00,1
184,954,ORD_184,2015-02-15 00:00:00.000,2015-05-12 00:00:00.000,90732.00,4
185,378,ORD_185,2015-04-03 00:00:00.000,2015-05-01 00:00:00.000,46910.00,3
186,562,ORD_186,2015-06-02 00:00:00.000,2015-06-22 00:00:00.000,9602.00,6
187,86,ORD_187,2015-04-03 00:00:00.000,2015-06-20 00:00:00.000,44944.00,2
188,840,ORD_188,2015-02-12 00:00:00.000,2015-05-17 00:00:00.000,25743.00,2
189,747,ORD_189,2015-04-17 00:00:00.000,2015-05-04 00:00:00.000,68943.00,6
190,381,ORD_190,2015-03-01 00:00:00.000,2015-05-25 00:00:00.000,46139.00,1
191,66,ORD_191,2015-06-30 00:00:00.000,2015-06-30 00:00:00.000,10617.00,5
192,83,ORD_192,2015-02-28 00:00:00.000,2015-05-05 00:00:00.000,64423.00,2
193,123,ORD_193,2015-06-27 00:00:00.000,2015-06-27 00:00:00.000,11581.00,5
194,793,ORD_194,2015-01-29 00:00:00.000,2015-05-28 00:00:00.000,44153.00,6
195,598,ORD_195,2015-04-11 00:00:00.000,2015-05-21 00:00:00.000,98990.00,1
196,988,ORD_196,2015-06-07 00:00:00.000,2015-06-20 00:00:00.000,45608.00,3
197,862,ORD_197,2015-05-27 00:00:00.000,2015-06-13 00:00:00.000,3784.00,7
198,464,ORD_198,2015-04-08 00:00:00.000,2015-05-24 00:00:00.000,63708.00,2
199,233,ORD_199,2015-02-03 00:00:00.000,2015-04-01 00:00:00.000,79657.00,3
200,654,ORD_200,2015-04-11 00:00:00.000,2015-06-15 00:00:00.000,42883.00,2
201,469,ORD_201,2015-06-04 00:00:00.000,2015-06-26 00:00:00.000,38985.00,3
202,687,ORD_202,2015-04-16 00:00:00.000,2015-05-28 00:00:00.000,67807.00,4
203,357,ORD_203,2015-05-19 00:00:00.000,2015-05-29 00:00:00.000,58291.00,2
204,637,ORD_204,2015-06-29 00:00:00.000,2015-06-30 00:00:00.000,21824.00,5
205,224,ORD_205,2015-05-09 00:00:00.000,2015-06-26 00:00:00.000,32719.00,7
206,772,ORD_206,2015-01-16 00:00:00.000,2015-02-25 00:00:00.000,96104.00,7
207,305,ORD_207,2015-06-03 00:00:00.000,2015-06-03 00:00:00.000,54569.00,6
208,591,ORD_208,2015-03-30 00:00:00.000,2015-04-07 00:00:00.000,22863.00,5
209,336,ORD_209,2015-03-29 00:00:00.000,2015-04-26 00:00:00.000,66898.00,6
210,323,ORD_210,2015-03-31 00:00:00.000,2015-05-13 00:00:00.000,40131.00,7
211,266,ORD_211,2015-02-10 00:00:00.000,2015-02-10 00:00:00.000,23355.00,3
212,245,ORD_212,2015-03-27 00:00:00.000,2015-06-24 00:00:00.000,14549.00,1
213,381,ORD_213,2015-05-29 00:00:00.000,2015-06-11 00:00:00.000,29194.00,7
214,918,ORD_214,2015-06-05 00:00:00.000,2015-06-15 00:00:00.000,39002.00,5
215,75,ORD_215,2015-05-30 00:00:00.000,2015-06-27 00:00:00.000,46226.00,2
216,980,ORD_216,2015-03-01 00:00:00.000,2015-05-15 00:00:00.000,92243.00,7
217,957,ORD_217,2015-05-05 00:00:00.000,2015-06-21 00:00:00.000,96774.00,4
218,277,ORD_218,2015-03-23 00:00:00.000,2015-05-19 00:00:00.000,31377.00,7
219,195,ORD_219,2015-05-13 00:00:00.000,2015-06-30 00:00:00.000,14090.00,1
220,990,ORD_220,2015-04-23 00:00:00.000,2015-06-21 00:00:00.000,31312.00,4
221,74,ORD_221,2015-03-11 00:00:00.000,2015-05-06 00:00:00.000,3913.00,7
222,636,ORD_222,2015-05-12 00:00:00.000,2015-06-07 00:00:00.000,67325.00,5
223,453,ORD_223,2015-04-27 00:00:00.000,2015-06-24 00:00:00.000,85225.00,5
224,481,ORD_224,2015-01-07 00:00:00.000,2015-02-26 00:00:00.000,70840.00,6
225,592,ORD_225,2015-04-28 00:00:00.000,2015-06-17 00:00:00.000,47515.00,5
226,820,ORD_226,2015-04-22 00:00:00.000,2015-05-10 00:00:00.000,66767.00,3
227,303,ORD_227,2015-06-19 00:00:00.000,2015-06-30 00:00:00.000,15111.00,4
228,692,ORD_228,2015-04-29 00:00:00.000,2015-06-20 00:00:00.000,70423.00,6
229,744,ORD_229,2015-03-16 00:00:00.000,2015-06-04 00:00:00.000,77098.00,3
230,749,ORD_230,2015-04-11 00:00:00.000,2015-05-19 00:00:00.000,90698.00,7
231,318,ORD_231,2015-04-21 00:00:00.000,2015-04-25 00:00:00.000,76731.00,7
232,204,ORD_232,2015-03-13 00:00:00.000,2015-06-24 00:00:00.000,58755.00,3
233,133,ORD_233,2015-06-11 00:00:00.000,2015-06-12 00:00:00.000,91814.00,1
234,464,ORD_234,2015-03-13 00:00:00.000,2015-05-27 00:00:00.000,24668.00,6
235,384,ORD_235,2015-01-11 00:00:00.000,2015-04-14 00:00:00.000,16526.00,1
236,744,ORD_236,2015-06-27 00:00:00.000,2015-06-29 00:00:00.000,88764.00,2
237,951,ORD_237,2015-01-17 00:00:00.000,2015-01-19 00:00:00.000,47110.00,1
238,999,ORD_238,2015-03-10 00:00:00.000,2015-06-14 00:00:00.000,93993.00,3
239,245,ORD_239,2015-04-11 00:00:00.000,2015-06-04 00:00:00.000,7968.00,1
240,234,ORD_240,2015-04-29 00:00:00.000,2015-05-25 00:00:00.000,93499.00,6
241,95,ORD_241,2015-03-02 00:00:00.000,2015-06-16 00:00:00.000,19321.00,5
