"ID","Дата и время продажи","Товар","Количество","ClientServiceID "
1,"2019-09-29 8:59:34",44,2,
2,"2019-12-15 19:02:56",21,1,
3,"2019-02-17 11:39:54",97,2,
4,"2019-04-01 8:42:31",36,3,
5,"2019-01-01 15:08:49",88,2,
6,"2019-05-25 8:08:27",42,3,
7,"2019-07-29 13:37:35",4,3,
8,"2019-03-27 12:18:33",43,2,
9,"2019-10-23 18:53:31",76,3,
10,"2019-03-03 8:32:34",87,3,
11,"2019-02-18 14:44:42",86,2,
12,"2019-10-03 19:54:58",96,1,
13,"2019-11-12 18:41:34",22,1,
14,"2019-02-12 17:09:02",80,1,
15,"2019-11-01 15:39:50",3,3,
16,"2019-06-10 11:07:03",90,2,
17,"2019-06-22 12:07:06",7,3,
18,"2019-07-16 11:31:38",14,2,
19,"2019-01-07 11:22:57",86,1,
20,"2019-07-14 10:29:21",58,2,
21,"2019-11-17 17:57:46",67,2,
22,"2019-08-25 18:00:11",32,3,
23,"2019-06-07 10:05:11",86,3,
24,"2019-02-08 16:40:39",76,3,
25,"2019-01-12 15:11:05",12,2,
26,"2019-05-16 10:42:57",98,1,
27,"2019-05-25 15:29:20",58,1,
28,"2019-12-26 19:39:58",95,3,
29,"2019-07-29 13:38:09",46,1,
30,"2019-12-31 16:42:58",28,2,
31,"2019-03-08 10:24:21",25,3,
32,"2019-08-12 9:17:22",45,2,
33,"2019-11-18 8:33:45",23,3,
34,"2019-08-06 13:21:49",85,2,
35,"2019-02-25 16:25:11",66,2,
36,"2019-05-28 9:56:47",35,1,
37,"2019-11-24 13:21:32",76,1,
38,"2019-10-03 11:04:12",96,2,
39,"2019-10-11 13:27:50",70,2,
40,"2019-11-23 16:12:05",33,1,
41,"2019-07-25 18:52:26",58,1,
42,"2019-08-21 10:39:22",12,2,
43,"2019-04-09 12:02:17",97,2,
44,"2019-10-10 11:39:43",57,3,
45,"2019-07-03 16:52:30",86,2,
46,"2019-03-25 9:35:21",78,2,
47,"2019-09-22 16:57:19",3,3,
48,"2019-03-03 18:35:05",69,1,
49,"2019-08-21 17:01:40",76,3,
50,"2019-03-11 17:02:02",94,3,
51,"2019-04-28 8:46:31",83,1,
52,"2019-12-27 16:58:35",76,2,
53,"2019-12-09 11:56:02",16,3,
54,"2019-10-02 17:30:21",89,1,
55,"2019-11-18 17:32:43",83,3,
56,"2019-01-28 17:01:30",30,2,
57,"2019-10-22 12:34:59",23,3,
58,"2019-09-06 12:57:51",32,2,
59,"2019-12-04 13:10:28",84,2,
60,"2019-04-10 13:43:06",19,2,
61,"2019-02-13 16:49:50",45,1,
62,"2019-08-12 9:33:21",92,1,
63,"2019-02-05 10:48:29",45,1,
64,"2019-11-02 16:32:41",78,1,
65,"2019-11-03 13:25:34",26,3,
66,"2019-02-25 18:04:08",15,1,
67,"2019-05-15 15:17:17",6,1,
68,"2019-02-03 8:37:25",57,3,
69,"2019-08-06 14:38:35",17,3,
70,"2019-01-09 10:46:52",92,1,
71,"2019-04-08 8:45:46",85,2,
72,"2019-06-10 15:57:53",13,2,
73,"2019-11-06 10:21:22",96,2,
74,"2019-05-16 16:19:03",3,3,
75,"2019-11-27 17:14:17",85,2,
76,"2019-12-23 9:03:04",38,3,
77,"2019-06-23 14:33:36",58,1,
78,"2019-06-19 15:28:05",10,2,
79,"2019-11-29 15:53:06",91,2,
80,"2019-12-26 8:06:58",72,1,
81,"2019-07-08 15:21:09",20,3,
82,"2019-06-10 19:54:41",53,2,
83,"2019-03-01 12:00:30",91,1,
84,"2019-01-11 12:11:42",29,3,
85,"2019-12-08 16:58:50",13,3,
86,"2019-08-18 17:09:56",19,3,
87,"2019-07-10 17:54:19",17,1,
88,"2019-09-08 11:52:21",3,2,
89,"2019-07-16 9:44:46",100,2,
90,"2019-07-18 14:32:52",26,3,
91,"2019-03-31 14:53:31",55,3,
92,"2019-07-25 16:30:45",61,1,
93,"2019-07-11 16:30:13",63,1,
94,"2019-07-16 13:09:03",38,2,
95,"2019-11-23 12:58:02",6,1,
96,"2019-08-08 18:37:15",43,2,
97,"2019-03-20 18:47:06",25,3,
98,"2019-01-29 19:09:18",100,3,
99,"2019-10-18 18:40:13",63,2,
100,"2019-07-05 16:03:31",61,3,
